		Height						Weight						FOC					
		Male			Female			Male			Female			Male			Female		
Minimum age (CDC)	Rounded age	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S
0	0	1.267004226	49.98888408	0.053112191	-1.295960857	49.28639612	0.05008556	1.815151075	3.530203168	0.152385273	1.509187507	3.39918645	0.142106724	1	34.4618	0.03686	1	33.8787	0.03496
0.5	1	0.511237696	52.6959753	0.048692684	-0.809249882	51.68358057	0.046818545	1.547523128	4.003106424	0.146025021	1.357944315	3.79752846	0.138075916	1	37.2759	0.03133	1	36.5463	0.0321
1.5	2	-0.45224446	56.62842855	0.04411683	-0.050782985	55.28612813	0.0434439	1.068795548	4.879525083	0.136478767	1.105537708	4.544776513	0.131733888	1	39.1285	0.02997	1	38.2521	0.03168
2.5	3	-0.990594599	59.60895343	0.041795583	0.476851407	58.09381906	0.041716103	0.695973505	5.672888765	0.129677511	0.902596648	5.230584214	0.126892697	1	40.5135	0.02918	1	39.5328	0.0314
3.5	4	-1.285837689	62.07700027	0.040454126	0.843299612	60.45980763	0.040705173	0.41981509	6.391391982	0.124717085	0.734121414	5.859960798	0.123025182	1	41.6317	0.02868	1	40.5817	0.03119
4.5	5	-1.43031238	64.2168641	0.039633879	1.097562257	62.53669656	0.040079765	0.219866801	7.041836432	0.121040119	0.590235275	6.437587751	0.119840911	1	42.5576	0.02837	1	41.459	0.03102
5.5	6	-1.47657547	66.1253149	0.039123813	1.272509641	64.40632762	0.039686845	0.077505598	7.630425182	0.1182712	0.464391566	6.967850457	0.117166868	1	43.3306	0.02817	1	42.1995	0.03087
6.5	7	-1.456837849	67.8601799	0.038811994	1.390428859	66.11841553	0.039444555	-0.02190761	8.162951035	0.116153695	0.352164071	7.454854109	0.11489384	1	43.9803	0.02804	1	42.829	0.03075
7.5	8	-1.391898768	69.45908458	0.038633209	1.466733925	67.70574419	0.039304738	-0.0894409	8.644832479	0.114510349	0.250497889	7.902436186	0.112949644	1	44.53	0.02796	1	43.3671	0.03063
8.5	9	-1.29571459	70.94803912	0.038546833	1.512301976	69.19123614	0.03923711	-0.1334091	9.081119817	0.113217163	0.15724751	8.314178377	0.11128469	1	44.9998	0.02792	1	43.83	0.03053
9.5	10	-1.177919048	72.34586111	0.038526262	1.534950767	70.59163924	0.039221665	-0.1600954	9.476500305	0.11218624	0.070885725	8.693418423	0.109863709	1	45.4051	0.0279	1	44.2319	0.03044
10.5	11	-1.045326049	73.6666541	0.038553387	1.540390875	71.91961673	0.039244672	-0.17429685	9.835307701	0.111354536	-0.00968493	9.043261854	0.10866078	1	45.7573	0.02789	1	44.5844	0.03035
11.5	12	-0.902800887	74.92129717	0.038615501	1.532852892	73.1850104	0.03929642	-0.1797189	10.16153567	0.110676413	-0.085258	9.366593571	0.10765621	1	46.0661	0.02789	1	44.8965	0.03027
12.5	13	-0.753908107	76.11837536	0.038703461	1.51550947	74.39564379	0.039369875	-0.179254	10.45885399	0.110118635	-0.15640945	9.666089185	0.106834517	1	46.3395	0.02789	1	45.1752	0.03019
13.5	14	-0.601263523	77.26479911	0.038810557	1.490765028	75.5578544	0.039459832	-0.17518447	10.7306256	0.109656941	-0.22355869	9.944226063	0.106183085	1	46.5844	0.02791	1	45.4265	0.03012
14.5	15	-0.446805039	78.36622309	0.038931784	1.460458255	76.67685871	0.039562382	-0.16932268	10.97992482	0.109273653	-0.28701346	10.20329397	0.105691242	1	46.806	0.02792	1	45.6551	0.03006
15.5	16	-0.291974772	79.4273405	0.039063356	1.426006009	77.75700986	0.039674542	-0.1631139	11.20955529	0.10895596	-0.34699919	10.4454058	0.105349631	1	47.0088	0.02795	1	45.865	0.02999
16.5	17	-0.13784767	80.45209492	0.039202382	1.388507095	78.80198406	0.03979401	-0.15770999	11.4220677	0.108694678	-0.40368918	10.67250698	0.105149754	1	47.1962	0.02797	1	46.0598	0.02993
17.5	18	0.014776155	81.44383603	0.039346629	1.348818127	79.81491852	0.039918994	-0.15402279	11.61977698	0.108483324	-0.45721877	10.88638558	0.105083666	1	47.3711	0.028	1	46.2424	0.02987
18.5	19	0.165304169	82.40543643	0.039494365	1.307609654	80.79851532	0.040048084	-0.15276214	11.80477902	0.108317416	-0.50770077	11.08868151	0.105143752	1	47.5357	0.02803	1	46.4152	0.02982
19.5	20	0.313301809	83.33938063	0.039644238	1.265408149	81.75512092	0.040180162	-0.15446658	11.9789663	0.108193944	-0.55523599	11.28089537	0.105322575	1	47.6919	0.02806	1	46.5801	0.02977
20.5	21	0.458455471	84.24783394	0.039795189	1.222627732	82.6867881	0.04031434	-0.15952202	12.14404334	0.108110954	-0.59992113	11.46439708	0.10561278	1	47.8408	0.0281	1	46.7384	0.02972
21.5	22	0.600544631	85.13269658	0.039946388	1.179594365	83.59532461	0.040449904	-0.16817926	12.30154103	0.108067236	-0.64185418	11.64043402	0.106007025	1	47.9833	0.02813	1	46.8913	0.02967
22.5	23	0.739438953	85.9956488	0.040097181	1.136564448	84.48233206	0.040586283	-0.1805668	12.45283028	0.108062078	-0.6811381	11.81013895	0.106497957	1	48.1201	0.02817	1	47.0391	0.02962
23.5	24	0.875000447	86.8381751	0.04024706	1.093731947	85.34923624	0.040723015	-0.19670196	12.59913494	0.108095077	-0.71788283	11.97453748	0.107078197	1	48.2515	0.02821	1	47.1822	0.02957
24.5	25	1.00720807	87.66160934	0.040395626	1.051272912	86.1973169	0.040859727	-0.21650121	12.74154396	0.108166005	-0.75220617	12.13455528	0.107740346	1	48.3777	0.02825	1	47.3204	0.02953
25.5	26	0.837251351	88.45247282	0.040577525	1.041951175	87.09026318	0.041142161	-0.23979048	12.88102276	0.108274705	-0.78423359	12.2910249	0.108477009	1	48.4989	0.0283	1	47.4536	0.02949
26.5	27	0.681492975	89.22326434	0.040723122	1.012592236	87.95714182	0.041349399	-0.26631585	13.01842382	0.108421024	-0.81409743	12.44469237	0.109280822	1	48.6151	0.02834	1	47.5817	0.02945
27.5	28	0.538779654	89.97549228	0.040833194	0.970541909	88.7960184	0.041500428	-0.29575496	13.1544966	0.108604769	-0.8419355	12.59622335	0.110144488	1	48.7264	0.02838	1	47.7045	0.02941
28.5	29	0.407697153	90.71040853	0.040909059	0.921129988	89.6055115	0.041610508	-0.32772936	13.28989667	0.108825681	-0.86788939	12.74620911	0.111060814	1	48.8331	0.02842	1	47.8219	0.02937
29.5	30	0.286762453	91.42907762	0.040952433	0.868221392	90.38476689	0.041691761	-0.36181746	13.42519408	0.109083423	-0.89210264	12.89517218	0.112022758	1	48.9351	0.02847	1	47.934	0.02933
30.5	31	0.174489485	92.13242379	0.04096533	0.81454413	91.13341722	0.04175368	-0.39756808	13.56088113	0.109377581	-0.91471881	13.04357164	0.113023466	1	49.0327	0.02851	1	48.041	0.02929
31.5	32	0.069444521	92.82127167	0.040949976	0.761957977	91.8515436	0.041803562	-0.43452025	13.69737858	0.109707646	-0.93587966	13.19180827	0.114056316	1	49.126	0.02855	1	48.1432	0.02926
32.5	33	-0.029720564	93.49637946	0.040908737	0.711660228	92.5396352	0.041846882	-0.47218875	13.83504622	0.110073084	-0.95572344	13.34022934	0.115114952	1	49.2153	0.02859	1	48.2408	0.02922
