GA 	Birth weight (g) 	Head circumference (cm) 	Length (cm)
 	N 	Mean 	s.d. 	P10 	P50 	P90 	N 	Mean 	s.d. 	P10 	P50 	P90 	N 	Mean 	s.d. 	P10 	P50 	P90
22 	13 	543 	83 	 	550 	 	7 	21.0 	0.9 	 	21.0 	 	7 	29.7 	2.2 	 	30.0 	 
23 	46 	599 	75 	511 	597 	704 	29 	21.9 	2.1 	20.0 	22.0 	23.2 	28 	31.1 	2.2 	29.5 	31.0 	34.0
24 	151 	661 	95 	550 	660 	780 	121 	22.2 	1.5 	20.5 	22.0 	23.0 	115 	32.2 	2.7 	29.5 	32.0 	35.0
25 	172 	718 	111 	576 	727 	845 	152 	23.0 	1.8 	21.0 	23.0 	24.5 	148 	33.0 	2.5 	30.0 	33.0 	36.0
26 	222 	820 	138 	660 	814 	995 	210 	24.0 	1.6 	22.0 	24.0 	25.5 	197 	34.2 	2.1 	32.0 	34.0 	36.2
27 	285 	943 	201 	684 	940 	1199 	259 	25.0 	1.7 	23.0 	25.0 	27.0 	256 	35.6 	2.6 	32.3 	36.0 	39.0
28 	345 	1028 	196 	750 	1030 	1270 	319 	25.8 	1.6 	24.0 	26.0 	28.0 	311 	36.8 	2.2 	34.0 	37.0 	39.0
29 	407 	1205 	246 	908 	1220 	1472 	388 	26.8 	1.6 	25.0 	27.0 	29.0 	380 	38.3 	2.8 	35.0 	38.0 	42.0
30 	471 	1377 	311 	1041 	1370 	1672 	433 	27.9 	2.1 	26.0 	28.0 	30.0 	423 	40.0 	2.5 	37.0 	40.0 	43.0
31 	539 	1550 	333 	1140 	1558 	1933 	511 	28.8 	1.9 	26.5 	29.0 	31.0 	508 	41.4 	2.9 	37.5 	42.0 	45.0
32 	867 	1713 	331 	1328 	1705 	2097 	787 	29.6 	1.8 	27.5 	29.7 	31.5 	787 	42.5 	2.9 	39.0 	43.0 	46.0
33 	827 	1918 	377 	1479 	1910 	2369 	749 	30.4 	1.9 	28.0 	30.5 	32.5 	737 	43.8 	2.8 	40.0 	44.0 	47.0
34 	893 	2138 	436 	1625 	2110 	2640 	789 	31.4 	1.9 	29.0 	31.0 	34.0 	786 	45.2 	3.0 	41.0 	45.0 	49.0
35 	757 	2389 	491 	1780 	2378 	3020 	673 	32.3 	2.0 	30.0 	32.0 	34.5 	668 	46.4 	3.3 	42.0 	47.0 	50.0
36 	792 	2650 	509 	2042 	2637 	3289 	682 	33.2 	2.1 	31.0 	33.0 	35.0 	669 	47.7 	2.9 	44.0 	48.0 	51.0
37 	638 	2940 	620 	2211 	2933 	3716 	555 	34.0 	2.2 	31.1 	34.0 	36.0 	544 	48.8 	3.5 	45.0 	49.0 	53.0
Total: 	7425 	 	 	 	 	 	6664 	 	 	 	 	 	6564 	 	 	 	 	 
